"","Sample Name","ID","Exterior","Interior","Color","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)"
"151",80201,"PI 226043","Orange","Yellow","Orange",627.69690575,625.3200691,192.7990241,NA,45.52441989,0
"158",80211,"PI 234619","Orange","Yellow","Orange",406.79511015,858.59191915,116.6224682,34.689731205,21.448184925,36.794594545
"495",80712,"PI 652401","Orange","Yellow","Orange",687.8535112,703.06245105,130.51433975,NA,0,0
