,Sample Name,ID,Exterior,Interior,Color,Alpha (ug/g),Beta (ug/g),Lut (ug/g),Lycopene (ug/g),Phyto (ug/g),Zeta (ug/g),
174,80230,PI 261650,Orange,Orange,Orange,30.0522346,55.63522322,7.458718064,NA,0,0,
189,80246,PI 264238,Orange,Yellow,Orange,11.3681363,54.02300494,12.98157766,NA,0,0,Color Wrong
220,80292,PI 285613,Orange,Orange,Orange,16.20046158,53.34840648,4.44178087,NA,0,0,
270,80358,PI 326000,Orange,Orange,Orange,30.14985404,53.37752103,11.44077883,NA,0,0,
308,80405,PI 357988,NA,White,NA,0,53.95457371,7.598495442,NA,0,0,Color and HPLC Wrong
481,80686,PI 652277,Orange,Orange,Orange,42.87703458,58.83782934,17.13722185,NA,0,0,
