"","Sample Name","ID","Exterior","Interior","Color","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)"
"55",80071,"PI 165522","Orange","Yellow","Orange",16.10974304,24.089894045,6.0758453075,NA,0,0
"62",80083,"PI 169488","Orange","Yellow","Orange",16.5329816,22.741665575,23.03283365,NA,0,0
"336",80447,"PI 432904","Orange","Yellow","Orange",18.519392185,22.601116545,13.10105473,NA,0,0
