"","Sample Name","ID","Exterior","Interior","Color","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)"
"223",80295,"PI 285616","Orange","Orange","Orange",32.803125515,61.438253925,10.7756665,NA,0,0
"363",80480,"PI 502914","Orange","Orange","Orange",41.82797865,69.561297545,13.713732405,NA,0,0
"369",80487,"PI 502920","Orange","Orange","Orange",36.40941015,64.63067044,15.03091878,NA,0,0
