Sample.Name,Alpha (ug/g),Beta (ug/g),Lut (ug/g),Lycopene (ug/g),Phyto (ug/g),Zeta (ug/g)
80173,17.80836702,114.3889921,216.8314553,NA,12.71370158,0
80174,0,0,21.64006928,NA,0,0
80175,0,0,106.1945741,NA,0,0
80176,0,0,70.43167318,NA,0,0
80177,0,0,49.36173283,NA,0,0
80180,0,0,35.06801162,NA,0,0
80181,0,0,23.33080516,NA,0,0
80182,0,NA,47.31846065,NA,0,0
80183,93.66843513,298.3384192,113.1026489,NA,0,0
80185,0,0,19.93517616,NA,0,0
80187,0,0,35.37535893,NA,0,0
80188,0,0,57.15088617,NA,0,0
80189,0,0,3.758561399,0,0,0
80191,94.656376,119.6390833,35.44316945,NA,13.52335292,0
80192,372.9226049,598.595195,120.0263532,27.50390183,70.08947004,49.2158586
80194,231.5393953,329.020149,67.49440802,NA,0,0
80196,232.660856,270.0277919,33.60589441,NA,0,0
80197,385.1230492,579.7567891,101.0759989,NA,40.2496571,84.52679945
80199,53.63198653,95.6629399,17.16650916,NA,0,0
80200,64.69980175,166.0309814,88.6322208,NA,0,0
80201,627.6969058,625.3200691,192.7990241,NA,45.52441989,0
80203,159.3210816,256.9038464,63.63765841,NA,32.73273045,0
80204,148.016089,330.3933035,96.4186608,13.34330909,0,0
80205,0,19.68249385,88.67106176,NA,0,0
80206,11.22932124,27.4028437,164.6771361,NA,0,0
80208,0,0,128.4010286,NA,0,0
80209,144.6716794,324.0296497,297.9489963,NA,29.99968099,30.08265035
80211,406.7951102,858.5919192,116.6224682,34.68973121,21.44818493,36.79459455
80212,23.45264395,27.28679406,24.78008199,NA,0,0
80213,209.7341257,381.6831181,78.71162835,NA,16.53966653,0
80214,0,0,58.25877864,NA,0,0
80218,0,0,53.99261312,NA,0,0
80219,0,0,15.1371575,NA,0,0
80220,0,0,2.722922679,0,0,0
80224,63.60331125,151.1509117,27.07020772,NA,10.95028865,0
80229,123.8539098,352.5728857,77.16344442,8.168665276,34.80729159,67.05436427
80230,30.0522346,55.63522322,7.458718064,NA,0,0
80231,39.55932161,100.7649661,10.43773794,NA,0,0
80232,384.0376411,535.4185778,48.78750274,11.89479439,33.09459169,38.92278789
80233,0,0,47.41057648,NA,0,0
80234,0,0,2.517295845,NA,0,0
80235,192.0112617,160.7732298,65.21897708,NA,24.61260035,28.59139034
80236,89.51225007,205.3027643,59.86569437,NA,16.18303762,32.07429414
80237,422.4791454,626.7834382,147.6971409,NA,NA,29.49365587
80238,55.13548646,32.10998166,10.79890965,NA,0,0
80242,216.3921277,523.9998678,100.4499572,12.93304634,19.55894129,18.94662747
80246,11.3681363,54.02300494,12.98157766,NA,0,0
80248,359.7983953,323.8546765,24.1461804,NA,NA,0
80249,6.936297398,34.62152855,37.76984367,NA,0,0
80250,55.05408536,184.2045863,117.0870937,NA,0,0
80251,0,0,55.61703547,NA,0,0
80254,98.25471086,226.389079,70.49778608,NA,0,0
80259,113.7294871,246.4581446,87.11166298,NA,10.08448122,NA
80260,219.8857639,324.3091801,57.94509691,16.12109974,5.118714601,0
80262,0,0,43.33063462,NA,0,0
80263,0,0,67.96642164,NA,0,0
80264,0,0,46.92817147,NA,0,0
80266,0,117.7533338,103.4035706,47.74530856,12.85140227,0
80267,0,43.59942763,70.31690572,11.07874917,0,0
80270,70.92165918,231.9648758,111.3525234,NA,20.61411607,0
80271,35.32563124,41.28378007,11.705463,NA,0,0
80272,124.3887589,178.3080524,45.20826454,NA,7.853297977,17.32598479
80275,34.02257791,25.35309828,5.511188984,NA,0,0
80276,395.401285,457.9533418,53.42926639,NA,16.23671817,13.48707947
80277,76.92833989,196.0015819,28.30134861,NA,0,0
80287,290.9811948,469.4557176,89.08335326,13.22941306,NA,12.97793962
80288,88.85734942,182.4854454,48.69443927,NA,NA,23.42235066
80290,16.96081145,49.78662911,12.05385768,NA,0,0
80291,70.8097887,258.4219213,99.69111827,NA,NA,15.86332752
80292,16.20046158,53.34840648,4.44178087,NA,0,0
80293,66.73375658,220.7427256,34.68278725,NA,0,0
80294,305.9462318,466.9042262,91.26004516,NA,18.14769796,19.03229677
80295,32.80312552,61.43825393,10.7756665,NA,0,0
80298,0,0,2.349812889,NA,0,0
80299,0,0,2.440088775,NA,0,0
80300,0,0,65.37095398,NA,0,0
80301,0,0,69.31535226,NA,0,0
80302,30.64878741,127.0607045,21.04882374,NA,0,0
80304,0,0,3.949436992,NA,0,0
80307,0,0,39.01632114,NA,0,0
80312,0,0,27.76179633,NA,0,0
80313,199.5842661,549.222746,106.9650236,NA,23.16468622,23.98633561
80314,211.8747273,276.0106296,75.3257631,NA,0,0
80315,485.9399114,610.5197609,45.80147151,20.48172811,12.43494223,0
80316,847.4500352,1018.624205,113.1447505,22.66880601,55.46632336,NA
80317,25.85766607,45.50719243,8.825947063,NA,0,0
80319,62.93275056,116.4233388,10.88504864,NA,0,0
80320,867.6515917,1284.115692,130.11326,30.38161687,135.0837078,33.24355359
80322,43.80778908,101.1283506,23.31335232,NA,0,0
80324,359.265316,623.1918873,214.9488343,NA,18.58150847,23.80851885
80325,191.7584507,572.7235099,311.0024905,22.57121564,55.63444023,89.27321332
80326,593.236018,1135.56354,252.1114539,28.89156228,85.68325871,71.06043684
80330,0,0,89.20006694,NA,0,0
80331,159.7595808,385.0475659,35.32458992,NA,14.6957884,0
80332,85.80230027,222.2225512,159.4944314,NA,NA,10.69794734
80333,0,0,3.976160145,0,0,0
80334,0,441.4158776,91.60321476,227.3959992,26.92384887,0
80335,0,31.5021057,117.3993761,52.33504474,24.75082856,0
80336,0,102.5951182,87.18812199,57.03289851,31.21448842,0
80340,212.5574514,334.3471806,56.75584414,16.93174612,8.446905208,13.89923968
80341,23.46609662,82.05549016,72.55811966,NA,0,0
80342,196.2431085,401.3167557,142.4640584,NA,21.50166385,46.35795706
80343,77.68409954,206.6995882,80.45362202,NA,5.700321017,19.7719093
80344,193.4736598,362.7476615,39.33815977,15.96378237,5.953400383,0
