"Sample.Name","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)","Total (ug/g)","AB.Ratio"
80035,111.29318855,245.63706925,32.37223161,NA,19.79276051,33.5647771,410.28779541,11.0258156465723
80036,145.36889115,359.93433905,50.10642277,NA,42.089579265,51.428301565,598.82111103,10.08459998271
80037,149.63795365,240.2121543,29.548515485,NA,15.748168865,26.376598825,431.97487564,13.1935598642139
80038,119.2697967,240.91937575,50.46611225,NA,13.727549995,45.64460758,419.561330025,7.13724827198275
80039,165.30096535,295.9105097,NA,NA,10.5502366855,33.667418655,505.4291303905,NA
80040,3.739142695,9.391011,2.713491833,NA,NA,0,NA,4.83884032202282
80041,166.2820225,306.9946904,47.52295057,7.2697211645,18.598805155,26.205627,518.081145055,9.95890842684265
80042,75.6734784,174.7336348,16.50364321,NA,6.834426894,17.179600555,274.421140649,15.1728385068499
80043,140.088984,143.0095445,7.119282571,NA,9.8943612775,NA,NA,39.7650361081587
80045,68.32906089,71.123783765,5.3979673365,NA,4.8587975445,0,144.3116421995,25.8343253972745
80046,156.1602469,169.32343245,31.28428617,NA,8.2599588895,6.104484221,339.8481224605,10.4040628442442
80047,377.466946,532.2490698,46.08920429,8.9898985355,24.95643258,52.62893027,987.30137865,19.7381584215673
80048,371.54319415,552.44932955,22.779464775,NA,24.445213305,21.253173645,969.69091065,40.5625212368494
80049,497.9424323,265.80454195,49.190097955,NA,18.60137785,28.037315255,810.385667355,15.5264373522632
80052,63.243272475,127.31525335,13.789998775,5.2043417045,5.8951963895,0,196.4537222145,13.8186035353727
80053,392.79054865,561.2916883,35.181873835,9.48562669,24.722267215,21.24208817,1000.046592335,27.1185736559845
80054,0,0,8.9046158435,NA,0,0,0,0
80056,21.730934715,40.300722105,17.725081625,NA,2.297314115,0,64.328970935,3.49965422627497
80059,0,3.432411321,32.241405315,NA,0,0,3.432411321,0.106459730506942
80062,0,0,2.4211384425,NA,0,0,0,0
80063,26.639979275,47.045928565,15.71971991,NA,0,0,73.68590784,4.687482236444
80064,0,0,5.2622594275,NA,0,0,0,0
80065,107.51949905,104.0323155,10.620618925,NA,5.009172781,0,216.560987331,19.918972335221
80066,0,6.9285112125,8.5922325365,NA,0,0,6.9285112125,0.80636914597778
80068,0,0,1.353608741,NA,0,0,0,0
80069,12.24345224,28.428955615,11.965881645,NA,0,0,40.672407855,3.39903143467871
80070,0,0,6.76932781,NA,0,0,0,0
80071,16.10974304,24.089894045,6.0758453075,NA,0,0,40.199637085,6.61630358419062
80072,0,0,NA,NA,0,0,0,NA
80076,0,0,4.2770309765,NA,0,0,0,0
80077,49.50660204,89.24484066,7.926652704,NA,0,0,138.7514427,17.5044180540397
80079,0,9.3985620845,14.649181725,NA,0,0,9.3985620845,0.641575909216868
80080,90.659891155,80.610832205,43.21133174,NA,0,0,171.27072336,3.96356040101994
80081,0,0,25.8800403,NA,0,0,0,0
80083,16.5329816,22.741665575,23.03283365,NA,0,0,39.274647175,1.70515915548237
80084,25.19943588,28.29494401,14.449501465,NA,0,0,53.49437989,3.70216093749502
80085,0,0,6.096712223,NA,0,0,0,0
80086,0,0,21.789675535,NA,0,0,0,0
80087,0,5.1987626805,21.205497165,NA,0,0,5.1987626805,0.245161084413557
80088,0,0,5.1909113265,NA,0,0,0,0
80090,0,0,7.1677476245,NA,0,0,0,0
80091,0,0,9.1356586435,NA,0,0,0,0
80093,0,0,15.22839603,NA,0,0,0,0
80094,0,0,10.19144459,NA,0,0,0,0
80096,0,0,18.416660875,NA,0,0,0,0
80097,3.180917387,0,1.603609018,0,0,0,3.180917387,1.98359908886469
80098,7.5868861755,11.042577385,21.351202655,NA,0,0,18.6294635605,0.87252525590812
80101,0,0,14.719654235,NA,0,0,0,0
