"Sample Name","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)","Total (ug/g)","AB.Ratio"
90157,0,39.050110485,252.20134795,NA,0,0,39.050110485,0.154837041127718
90158,0,0,76.359617635,NA,0,0,0,0
90159,23.462144805,133.4858905,168.007189,NA,20.91723623,0,177.865271535,0.934174520978385
90160,213.24824685,849.2017551,139.3661139,NA,73.538651585,0,1135.988653535,7.62344570153075
90162,531.754549,1372.7258215,121.603506,86.08252659,110.23783775,0,2014.71820825,15.6613935991286
90163,284.32131145,733.80261605,98.32619396,NA,89.175563265,0,1107.299490765,10.3545544325064
90164,892.0741433,2516.5371695,194.09606775,68.689613585,347.20297105,33.93628254,3789.75056639,17.5614650637352
90165,185.8245582,529.79050285,183.1377667,NA,86.673391205,0,802.288452255,3.90752313924553
90166,0,0,66.855045285,NA,0,0,0,0
90167,773.3664629,1898.963664,110.0992107,73.239756275,91.678306405,0,2764.008433305,24.2720189355545
90168,0,0,78.300029515,NA,0,0,0,0
90169,0,0,26.70074397,NA,0,0,0,0
90170,0,0,121.74003745,NA,0,0,0,0
90171,0,0,45.462823215,NA,0,0,0,0
90172,26.78946434,201.3925778,39.575728365,NA,50.726004465,0,278.908046605,5.76570669869969
90173,0,133.38136905,80.99275022,566.12919065,161.02320495,0,294.404574,1.64683096558269
90174,0,0,145.7492112,NA,0,0,0,0
90175,0,0,77.151196575,NA,0,0,0,0
90176,0,0,51.387806175,NA,0,0,0,0
90177,0,0,92.383182595,NA,0,0,0,0
90178,0,0,121.4858178,NA,0,0,0,0
90179,0,0,82.149923295,NA,0,0,0,0
90180,0,0,149.6408797,NA,0,0,0,0
90181,0,0,137.5728499,NA,0,0,0,0
90182,0,0,37.03882148,NA,0,0,0,0
90183,355.04696805,1202.0157355,109.37777645,63.65306935,113.97193575,0,1671.0346393,14.2356404937687
90185,0,0,121.954648,NA,0,0,0,0
90186,0,111.57713495,314.8856458,NA,0,0,111.57713495,0.35434176323448
90187,0,0,124.9425487,NA,0,0,0,0
90188,0,0,NA,NA,0,0,0,NA
90189,0,0,12.12907198,NA,0,0,0,0
90190,0,0,81.37378325,NA,0,0,0,0
90191,1207.798833,2213.054844,151.02112165,63.761047565,151.8752414,0,3572.7289184,22.6514916564322
90192,614.93955715,2047.6800115,102.093221305,80.8159921,176.04802955,0,2838.6675982,26.080277756106
90194,821.6688981,1689.2278415,84.976266835,49.972743465,71.195219305,0,2582.091958905,29.548211908102
90195,26.9666834,80.233821665,NA,NA,0,0,107.200505065,NA
