"","Sample Name","AlphaVar","BetaVar","LutVar","LycoVar","PhytoVar","ZetaVar"
"113",90121,0.393619468787493,0.363189481993559,0.339645539233465,Inf,NA,NA
"114",90122,0.0231996217586474,0.0310111055313684,0.0271592168371345,Inf,0.0235397210156924,NA
"115",90123,NA,NA,0.0215984613182868,Inf,NA,NA
"116",90124,0.145490941525976,0.163520087735869,0.208998421871832,Inf,0.166416611033011,NA
"117",90125,NA,NA,0.00105599049013072,Inf,NA,NA
"118",90127,NA,0.0875372104992733,0.164074875980092,0.0395693342784868,0.0932289062087131,NA
"119",90128,NA,0.0243554510356626,0.0277020680216472,Inf,0.00611383318679256,NA
"120",90130,0.0789999376049461,0.0998159829408324,0.132556686355508,0.304827253047641,0.0997116994722811,NA
"121",90131,NA,NA,0.00315539952486937,Inf,NA,NA
"122",90132,NA,NA,0.0892979233159728,Inf,NA,NA
"123",90133,NA,0.066134892036355,0.0650699850433192,Inf,NA,NA
"124",90134,NA,0.0390370365491892,0.183752838051145,Inf,NA,NA
"125",90135,NA,0.0333096894551795,0.131644201951639,0.160525536721368,0.00186407190396016,NA
"126",90136,0.0050407019752202,0.0353724619944986,0.0854747292883857,0.247958293531605,0.098187892557943,NA
"127",90137,0.0143853409196361,0.00259891942081818,0.0466743512049522,Inf,NA,NA
"128",90138,0.00861934098894822,0.0412091339648941,0.0633560800121799,Inf,0.0116313650917407,NA
"129",90139,0.0059247575827485,0.0248397457881199,0.0568095636146021,Inf,0.00453073040027834,NA
"130",90140,0.0111125275873186,0.00914359820610374,0.0631843976026803,Inf,NA,NA
"131",90141,0.0462371155240226,0.00404093860886531,0.183950612115765,Inf,0.0731944608183956,NA
"132",90142,0.0232810851326656,0.00229713549341063,0.247235470216602,Inf,NA,NA
"133",90143,NA,NA,0.19269480800442,Inf,NA,NA
"134",90144,0.0336201951215914,0.00304462570233206,0.1964716125056,Inf,0.038812168271602,NA
"135",90145,NA,0.0240906304899868,0.043864724869898,Inf,NA,NA
"136",90146,NA,0.0204925640166159,0.0266074074526974,Inf,NA,NA
"137",90147,NA,NA,0.0227074677075734,Inf,NA,NA
"138",90148,NA,0.0139342991385557,0.0486788006954289,0.0238014168680816,0.00265566197419862,NA
"139",90149,NA,0.00860426968743801,0.0360152666101885,0.0109386950357291,0.00351402903219111,NA
"140",90150,0.012240726853129,0.00228200986162415,0.0651842939981384,0.180346816130636,0.00611281528881747,NA
"141",90151,0.00453695930619616,0.01260151121646,0.0121542105716432,0.0180713264447905,0.000637475179021062,NA
