,V1,V2,V3,V4
One,All,Within P1,Within P2,Between P1 and P2
Two,53381.45,49642.5,45184.3,58792.8
,0.61966255,0.57626007,0.524508393,0.682478583
,38.03374504,42.37399299,47.54916073,31.75214171
