,V1,V2,V3,V4
One,All,Within P1,Within P2,Between P1 and P2
Two,52532.95,51795.25,47796.5,61821.1
,0.609812992,0.601249623,0.554831333,0.717631695
,39.01870081,39.87503773,44.51686671,28.2368305
