"Sample.Name","ID","Exterior","Interior","Color","Alpha..ug.g.","Beta..ug.g.","Lut..ug.g.","Lycopene..ug.g.","Phyto..ug.g.","Zeta..ug.g.","AB.Ratio","Total"
80071,"PI 165522","Orange","Yellow","Orange",16.10974304,24.08989405,6.075845308,NA,0,0,6.61630358446907,40.19963709
80072,"PI 167055","White","White","White",0,0,NA,NA,0,0,NA,0
80076,"PI 169480","Yellow","Yellow","Yellow",0,0,4.277030977,NA,0,0,0,0
80077,"PI 169482","Orange","Orange","Orange",49.50660204,89.24484066,7.926652704,NA,0,0,17.5044180540397,138.7514427
80080,"PI 169485","Orange","Yellow","Orange",90.65989116,80.61083221,43.21133174,NA,0,0,3.96356040125136,171.27072337
80081,"PI 169486","Yellow","Yellow","Yellow",0,0,25.8800403,NA,0,0,0,0
80083,"PI 169488","Orange","Yellow","Orange",16.5329816,22.74166558,23.03283365,NA,0,0,1.70515915569946,39.27464718
80084,"PI 169489","Orange","Yellow","Orange",25.19943588,28.29494401,14.44950147,NA,0,0,3.70216093621395,53.49437989
80085,"PI 169490","Yellow","Yellow","Yellow",0,0,6.096712223,NA,0,0,0,0
80086,"PI 171641","Yellow","Yellow","Yellow",0,0,21.78967554,NA,0,0,0,0
80087,"PI 171642","Orange","Yellow","Orange",0,5.198762681,21.20549717,NA,0,0,0.245161084379329,5.198762681
80088,"PI 171643","White","White","White",0,0,5.190911327,NA,0,0,0,0
80090,"PI 171645","Yellow","Yellow","Yellow",0,0,7.167747625,NA,0,0,0,0
80091,"PI 172886","Yellow","Yellow","Yellow",0,0,9.135658644,NA,0,0,0,0
80093,"PI 172890","Yellow","Yellow","Yellow",0,0,15.22839603,NA,0,0,0,0
80094,"PI 172891","Yellow","Yellow","Yellow",0,0,10.19144459,NA,0,0,0,0
80096,"PI 172893","White","White","White",0,0,18.41666088,NA,0,0,0,0
80098,"PI 172894","Orange","Yellow","Orange",7.586886176,11.04257739,21.35120266,NA,0,0,0.87252525596139,18.629463566
80101,"PI 174202","Yellow","Yellow","Yellow",0,0,14.71965424,NA,0,0,0,0
80103,"PI 174206","White","White","White",0,0,8.994641321,NA,0,0,0,0
80104,"PI 174207","White","White","White",0,0,6.719321468,NA,0,0,0,0
80108,"PI 175716","Yellow","Yellow","Yellow",0,0,32.78288056,NA,0,0,0,0
80110,"PI 175718","White","White","White",0,0,7.211846938,NA,0,0,0,0
80111,"PI 175719","Orange","Yellow","Orange",21.2886112,74.7494214,26.77289328,NA,0,0,3.58713686995282,96.0380326
80112,"PI 176556","Yellow","Yellow","Yellow",0,0,28.7023616,NA,0,0,0,0
80113,"PI 176557","Yellow","Yellow","Yellow",0,0,23.38416742,NA,0,0,0,0
80114,"PI 176558","Yellow","Yellow","Yellow",0,0,15.90490684,NA,0,0,0,0
80115,"PI 176559","Yellow","Yellow","Yellow",0,0,20.2060043,NA,0,0,0,0
80116,"PI 176560","Yellow","Yellow","Yellow",0,0,12.25507665,NA,0,0,0,0
80117,"PI 176561",NA,"Yellow",NA,0,11.61719641,54.23311027,NA,0,0,0.214208559165493,11.61719641
80118,"PI 176562","Yellow","Yellow","Yellow",0,0,21.22282823,NA,0,0,0,0
80119,"PI 176563","White","White","White",0,0,13.41526519,NA,0,0,0,0
80120,"PI 176564","White","White","White",0,0,1.98543091,NA,0,0,0,0
80122,"PI 176969","Yellow","Yellow","Yellow",0,0,22.46960583,NA,0,0,0,0
80123,"PI 176970","Yellow","Yellow","Yellow",0,0,27.63456919,NA,0,0,0,0
80124,"PI 177379","Yellow","Yellow","Yellow",0,0,4.050878608,NA,0,0,0,0
80127,"PI 177383","Yellow","Yellow","Yellow",0,0,37.53746429,NA,0,0,0,0
80130,"PI 178900","Orange","Yellow","Orange",0,11.6287243,24.88077769,NA,0,0,0.467377846660869,11.6287243
80131,"PI 179275","Yellow","Yellow","Yellow",0,0,29.23814789,NA,0,0,0,0
80132,"PI 179276","White","White","White",0,0,7.296636083,NA,0,0,0,0
80133,"PI 179277","Yellow","Yellow","Yellow",0,0,4.824016144,NA,0,0,0,0
