Sample Name,Accession Name,Outer.Color,Inner.Color,Color
80629,PI 652174,Orange,Orange,Orange
80630,PI 652175,Orange,Orange,Orange
80631,PI 652176,Orange,Orange,Orange
80632,PI 652177,Orange,Yellow,Orange
80633,PI 652178,Orange,Orange,Orange
80634,PI 652179,Orange,Yellow,Orange
80635,PI 652180,Orange,Yellow,Orange
80636,PI 652181,Orange,Orange,Orange
80637,PI 652182,Orange,Yellow,Orange
80639,PI 652188,Red,Orange,Orange
80642,PI 652200,Orange,Yellow,Orange
80643,PI 652201,Orange,Orange,Orange
80645,PI 652203,Orange,Orange,Orange
80646,PI 652204,Orange,Orange,Orange
80647,PI 652205,Orange,Yellow,Orange
80648,PI 652206,Orange,Orange,Orange
80649,PI 652207,Orange,Orange,Orange
80656,PI 652216,Orange,Orange,Orange
80657,PI 652217,Orange,Orange,Orange
80658,PI 652231,Orange,Orange,Orange
80659,PI 652232,Orange,Orange,Orange
80666,PI 652248,Orange,Orange,Orange
80670,PI 652254,Orange,Orange,Orange
80671,PI 652255,Orange,Yellow,Orange
80674,PI 652257,Orange,Orange,Orange
80675,PI 652258,Orange,Orange,Orange
80686,PI 652277,Orange,Orange,Orange
80688,PI 652279,Orange,Orange,Orange
80689,PI 652280,Orange,Orange,Orange
80692,PI 652283,Orange,Orange,Orange
80693,PI 652284,Orange,Orange,Orange
80695,PI 652286,Orange,Orange,Orange
80696,PI 652287,Orange,Orange,Orange
80697,PI 652288,Orange,Yellow,Orange
80701,PI 652335,Orange,Yellow,Orange
80711,PI 652400,Orange,Yellow,Orange
80712,PI 652401,Orange,Yellow,Orange
80714,PI 652403,Orange,Yellow,Orange
80715,PI 652404,Orange,Orange,Orange
80719,Heritage [Check],Orange,Orange,Orange
80720,B3475,Orange,Orange,Orange
80722,FN2-9,Orange,Orange,Orange
80723,Bolero [Check],Orange,Orange,Orange
80724,B2566,Orange,Orange,Orange
80725,Heritage [Check],Orange,Orange,Orange
80727,HCM,Orange,Orange,Orange
80729,B5280,Orange,Orange,Orange
80730,Bolero [Check],Orange,Orange,Orange
80731,B7254,Orange,Orange,Orange
80732,B6333,Orange,Orange,Orange
80733,Heritage [Check],Orange,Orange,Orange
80735,B7322C,Orange,Orange,Orange
80739,B1111B,Orange,Orange,Orange
80741,B5367,Orange,Orange,Orange
80742,Nb3999,Orange,Orange,Orange
80743,Nb4001,Orange,Orange,Orange
80744,Nb4002,Orange,Orange,Orange
80745,Nb6526,Orange,Yellow,Orange
80746,Nb8503,Orange,Orange,Orange
80747,Ns5154,Orange,Yellow,Orange
80748,C1131,Orange,Orange,Orange
80749,Nb2205,Orange,Orange,Orange
80750,Bolero [Check],Orange,Orange,Orange
80751,P6245,Orange,Orange,Orange
80752,L1408,Orange,Orange,Orange
80753,L2577,Orange,Orange,Orange
80754,L9793,Orange,Orange,Orange
80755,Heritage [Check],Orange,Orange,Orange
80756,F3513,Orange,Orange,Orange
80757,Nb3271,Orange,Orange,Orange
80758,Nb8524,Orange,Orange,Orange
80760,P1129,NA,Orange,Orange
80762,R5647,Red,Orange,Orange
80763,R6220,Red,Orange,Orange
80765,R6637,Red,Orange,Orange
80769,Brasília,Orange,Orange,Orange
80771,W133B,Orange,Orange,Orange
80773,W255B,Orange,Orange,Orange
80774,W259B,Orange,Orange,Orange
80776,WAY268C,Orange,Orange,Orange
80777,WAY271B,Orange,Orange,Orange
80779,WAY273C,Orange,Orange,Orange
80782,W277B,Orange,Orange,Orange
80783,W278B,Orange,Orange,Orange
80784,W279B,Orange,Orange,Orange
80786,W281C,Orange,Orange,Orange
80788,W285B,Orange,Orange,Orange
81581,W289B,Orange,Orange,Orange
82215,B493B,Orange,Orange,Orange
82217,7393B,Orange,Orange,Orange
