Sample Name,Outer Color,Inner Color,Color,Alpha (ug/g),Beta (ug/g),Lut (ug/g),Lycopene (ug/g),Phyto (ug/g),Zeta (ug/g),Total (ug/g),AB.Ratio
90105,Orange,Yellow,Orange,42.94792436,398.3741082,209.834525,NA,68.0498942,0,509.3719267,2.103190752
90106,Orange,Orange,Orange,55.56823013,248.4128326,30.38743645,NA,25.13531573,0,329.1163784,10.00351126
90111,Orange,Yellow,Orange,205.8577721,646.4378714,53.42591864,33.25430979,56.54685071,0,908.8424942,15.95284958
90112,Orange,Orange,Orange,222.72927,741.9311447,85.9845517,NA,113.6738144,0,1078.334229,11.21899685
90113,Orange,Yellow,Orange,102.7667635,283.8682114,115.7759424,NA,52.79142339,0,439.4263983,3.339510497
90117,Orange,Yellow,Orange,0,125.0156302,177.4834243,NA,19.67056916,0,144.6861993,0.704379187
90122,Orange,Orange,Orange,89.46449486,691.751315,217.9261774,NA,92.46568491,0,873.6814948,3.584772694
90130,Orange,Orange,Orange,686.2093533,1540.302117,NA,NA,208.2118381,0,2434.723308,NA
90136,Orange,Yellow,Orange,436.6001454,873.3570947,144.784061,NA,73.22941625,0,1383.186656,9.047661952
90138,Orange,Yellow,Orange,291.4845301,619.0063369,127.8678085,NA,57.68909269,0,968.1799597,7.120563635
90139,Orange,Yellow,Orange,367.6023105,565.7726434,155.7421532,NA,88.04928608,0,1021.42424,5.993078525
90141,Orange,Yellow,Orange,14.52139835,105.4631227,NA,NA,20.85629409,0,140.8408151,NA
90142,Orange,Yellow,Orange,31.04334543,88.27151825,NA,NA,0,0,119.3148637,NA
90144,Orange,Orange,Orange,145.4002217,323.3566718,NA,NA,25.26529855,0,494.022192,NA
90150,Orange,Orange,Orange,481.0582908,1394.11139,112.5872493,NA,239.3041609,0,2114.473841,16.65525797
90151,Orange,Orange,Orange,344.5136962,1316.732265,134.8261601,90.67987043,107.1090521,0,1768.355013,12.32139193
90152,Orange,Orange,Orange,170.7544409,803.1836577,75.30984124,NA,103.3783601,0,1077.316459,12.93241471
90153,Orange,Orange,Orange,489.9635903,1503.737478,105.0571749,95.87906734,84.19063222,0,2077.8917,18.97729565
90154,Orange,Orange,Orange,588.8198969,1127.379432,162.8204194,114.8932818,91.41324769,0,1807.612576,10.54044287
90155,Orange,Orange,Orange,66.44383914,188.8798586,NA,NA,0,0,255.3236977,NA
90160,Orange,Yellow,Orange,213.2482469,849.2017551,139.3661139,NA,73.53865159,0,1135.988654,7.623445702
90162,Orange,Orange,Orange,531.754549,1372.725822,121.603506,86.08252659,110.2378378,0,2014.718208,15.6613936
90163,Orange,Orange,Orange,284.3213115,733.8026161,98.32619396,NA,89.17556327,0,1107.299491,10.35455443
90164,Orange,Orange,Orange,892.0741433,2516.53717,194.0960678,68.68961359,347.2029711,33.93628254,3789.750566,17.56146506
90167,Orange,Orange,Orange,773.3664629,1898.963664,110.0992107,73.23975628,91.67830641,0,2764.008433,24.27201894
90183,Orange,Yellow,Orange,355.0469681,1202.015736,109.3777765,63.65306935,113.9719358,0,1671.034639,14.23564049
90191,Orange,Orange,Orange,1207.798833,2213.054844,151.0211217,63.76104757,151.8752414,0,3572.728918,22.65149166
90192,Orange,Orange,Orange,614.9395572,2047.680012,102.0932213,80.8159921,176.0480296,0,2838.667598,26.08027776
90194,Orange,Orange,Orange,821.6688981,1689.227842,84.97626684,49.97274347,71.19521931,0,2582.091959,29.54821191
90195,Orange,Orange,Orange,26.9666834,80.23382167,NA,NA,0,0,107.2005051,NA
90196,Orange,Orange,Orange,365.8374182,871.3987037,75.27705969,NA,43.41246129,0,1280.648583,16.43576578
90197,Orange,Orange,Orange,366.0660821,1382.093619,79.02899336,29.96020069,176.8089903,0,1924.968691,22.12048549
90198,Orange,Orange,Orange,264.2404335,870.9187171,49.56449062,NA,101.6259848,0,1236.785135,22.90266956
90199,Orange,Orange,Orange,187.3385609,675.138572,77.17058389,NA,100.1594875,0,962.6366204,11.17624216
90200,Orange,Orange,Orange,211.9570633,709.9307772,53.33695305,37.76898996,96.87683759,0,1018.764678,17.28422394
90201,Orange,Yellow,Orange,1258.346544,2179.996975,169.9829914,57.42536283,362.9923117,76.84098192,3878.176812,20.2275739
90202,Orange,Yellow,Orange,356.1697188,1156.954935,173.6266154,NA,391.9579632,72.70132038,1977.783937,8.714819734
90203,Orange,Yellow,Orange,215.4519692,1011.956523,103.0777613,16.79404524,393.0452114,51.91235576,1672.366059,11.90759749
90206,Orange,Yellow,Orange,358.2754822,684.8839299,167.6739575,28.86215085,50.38345498,0,1093.542867,6.221356184
90209,Orange,Orange,Orange,318.683896,921.2577842,84.41101533,NA,180.2763847,0,1420.218065,14.68933498
90210,Orange,Orange,Orange,383.559561,1029.681126,106.6313081,73.94096786,70.72185316,0,1483.96254,13.25352481
90211,Orange,Orange,Orange,416.4912858,2060.567997,140.820992,141.207744,139.363849,0,2616.423132,17.59012806
90212,Orange,Orange,Orange,1010.895339,1763.829229,156.5673978,NA,126.3076311,0,2901.032199,17.72223724
90213,Orange,Orange,Orange,706.9645909,753.4959714,123.5210388,43.50277925,86.90274402,0,1547.363306,11.8235774
90214,Orange,Yellow,Orange,235.916985,838.4981271,132.2406548,NA,142.2716835,44.71385885,1261.400654,8.124695949
90215,Orange,Orange,Orange,336.0372518,1159.832819,96.35756945,50.97865862,154.0884306,0,1649.958501,15.52415735
90217,Orange,Orange,Orange,535.3840497,2302.293182,138.6488795,42.02434385,304.3186347,63.84728588,3205.843152,20.46664382
90221,Orange,Yellow,Orange,95.08922352,307.9581511,80.16952024,NA,61.09806535,0,464.14544,5.027439024
90223,Orange,Orange,Orange,471.6788035,1337.977443,121.4496977,31.07556046,152.9887878,0,1962.645034,14.90045904
90224,Orange,Orange,Orange,142.5460977,261.4744802,36.08890821,NA,46.74052054,0,450.7610984,11.19514549
90225,Orange,Orange,Orange,545.961881,1481.009875,155.6755677,72.63566498,131.5274351,0,2158.499191,13.02048732
90226,Orange,Orange,Orange,462.3460064,1009.201593,112.7630264,60.36048601,143.9675849,0,1615.515184,13.04991225
90227,Orange,Orange,Orange,213.5436689,756.7916635,54.73466535,NA,105.6032147,0,1075.938547,17.72798511
90228,Orange,Orange,Orange,386.5970506,560.4656207,101.0154092,NA,167.8135017,0,1114.876173,9.375427761
90229,Orange,Orange,Orange,656.6360362,1445.668232,135.4027647,63.5193659,334.3157481,75.07857612,2511.698592,15.52630239
90230,Orange,Orange,Orange,1132.788008,3232.830356,195.8121897,127.7454495,138.4452986,0,4504.063663,22.29492643
90231,Orange,Orange,Orange,743.2742778,1728.3321,143.0989796,NA,316.4060323,87.94523074,2875.957641,17.27200561
