"","Sample.Name","Alpha..ug.g.","Beta..ug.g.","Lut..ug.g.","Lycopene..ug.g.","Phyto..ug.g.","Zeta..ug.g.","Total..ug.g.","AB.Ratio","PI"
"29",80069,12.24345224,28.42895562,11.96588165,NA,0,0,40.67240786,3.399031435,"PI 165051"
"30",80071,16.10974304,24.08989405,6.075845308,NA,0,0,40.19963709,6.616303584,"PI 165522"
"31",80077,49.50660204,89.24484066,7.926652704,NA,0,0,138.7514427,17.50441805,"PI 169482"
"32",80080,90.65989116,80.61083221,43.21133174,NA,0,0,171.2707234,3.963560401,"PI 169485"
"33",80084,25.19943588,28.29494401,14.44950147,NA,0,0,53.49437989,3.702160937,"PI 169489"
"34",80111,21.2886112,74.7494214,26.77289328,NA,0,0,96.0380326,3.58713687,"PI 175719"
"35",80142,35.33375179,144.1019257,63.189139,NA,NA,10.98023818,NA,2.839660112,"PI 181766"
"36",80150,247.6043898,459.1574321,92.52142098,NA,45.39685191,96.30852089,848.4671947,7.638899343,"PI 187234"
"37",80151,134.543135,285.8018977,36.01717135,NA,14.89574296,24.3699588,459.6107345,11.6706842,"PI 187235"
"38",80152,144.1381904,393.3757569,53.47372842,NA,19.58980788,39.25506308,596.3588183,10.05192574,"PI 187236"
"39",80153,28.90242564,65.5813641,22.793722,NA,0,0,94.48378973,4.145167242,"PI 187237"
"40",80154,228.1237963,353.0838148,58.19779069,13.74733801,8.804919617,18.57176963,608.5843003,9.986764174,"PI 193504"
"41",80155,15.18268583,37.52782722,26.59345942,NA,0,0,52.71051305,1.982085603,"PI 196847"
"42",80162,90.43716138,251.6271,57.6116187,NA,6.301519465,0,348.3657808,5.93741799,"PI 205997"
"43",80163,139.8493831,183.1578686,36.89424913,2.707291442,0,0,323.0072517,8.754948517,"PI 205998"
"44",80164,70.73807428,137.7060164,69.54013992,NA,0,0,208.4440906,2.997464355,"PI 205999"
"45",80183,93.66843513,298.3384192,113.1026489,NA,0,0,392.0068543,3.465938758,"PI 222250"
"46",80191,94.656376,119.6390833,35.44316945,NA,13.52335292,0,227.8188122,6.046170886,"PI 224689"
"47",80192,372.9226049,598.595195,120.0263532,27.50390183,70.08947004,49.2158586,1090.823129,8.094204101,"PI 225866"
"48",80194,231.5393953,329.020149,67.49440802,NA,0,0,560.5595443,8.305273884,"PI 225867"
"49",80196,232.660856,270.0277919,33.60589441,NA,0,0,502.6886479,14.95834754,"PI 225869"
"50",80197,385.1230492,579.7567891,101.0759989,NA,40.2496571,84.52679945,1089.656295,9.546082643,"PI 225870"
"51",80198,19.03602508,36.32683126,8.132453457,NA,0,0,55.36285633,6.807645027,"PI 225871"
"52",80199,53.63198653,95.6629399,17.16650916,NA,0,0,149.2949264,8.696871628,"PI 225872"
"53",80200,64.69980175,166.0309814,88.6322208,NA,0,0,230.7307831,2.603238202,"PI 225937"
"54",80201,627.6969058,625.3200691,192.7990241,NA,45.52441989,0,1298.541395,6.499083596,"PI 226043"
"55",80203,159.3210816,256.9038464,63.63765841,NA,32.73273045,0,448.9576585,6.540544363,"PI 226310"
"56",80209,144.6716794,324.0296497,297.9489963,NA,29.99968099,30.08265035,528.7836604,1.573092492,"PI 230723"
"57",80211,406.7951102,858.5919192,116.6224682,34.68973121,21.44818493,36.79459455,1323.629809,10.8502851,"PI 234619"
"58",80212,23.45264395,27.28679406,24.78008199,NA,0,0,50.739438,2.047589594,"PI 234620"
"59",80213,209.7341257,381.6831181,78.71162835,NA,16.53966653,0,607.9569102,7.513721366,"PI 234621"
"60",80224,63.60331125,151.1509117,27.07020772,NA,10.95028865,0,225.7045116,7.933231439,"PI 261614"
"61",80227,13.32820641,15.05394415,3.162846839,NA,0,0,28.38215056,8.973608905,"PI 261647"
"62",80229,123.8539098,352.5728857,77.16344442,8.168665276,34.80729159,67.05436427,578.2884513,6.174255167,"PI 261649"
"63",80230,30.0522346,55.63522322,7.458718064,NA,0,0,85.68745781,11.48822855,"PI 261650"
"64",80231,39.55932161,100.7649661,10.43773794,NA,0,0,140.3242877,13.44393665,"PI 261781"
"65",80232,384.0376411,535.4185778,48.78750274,11.89479439,33.09459169,38.92278789,991.4735984,18.8461423,"PI 261782"
"66",80235,192.0112617,160.7732298,65.21897708,NA,24.61260035,28.59139034,405.9884821,5.409230675,"PI 263019"
"67",80236,89.51225007,205.3027643,59.86569437,NA,16.18303762,32.07429414,343.0723461,4.924606946,"PI 263022"
"68",80237,422.4791454,626.7834382,147.6971409,NA,NA,29.49365587,NA,7.104149594,"PI 263023"
"69",80238,55.13548646,32.10998166,10.79890965,NA,0,0,87.24546812,8.079099741,"PI 263024"
"70",80240,6.797532598,9.037065614,3.717472885,NA,0,0,15.83459821,4.259506041,"PI 264232"
"71",80242,216.3921277,523.9998678,100.4499572,12.93304634,19.55894129,18.94662747,778.8975642,7.37075471,"PI 264234"
"72",80271,35.32563124,41.28378007,11.705463,NA,0,0,76.60941131,6.544757034,"PI 276325"
"73",80272,124.3887589,178.3080524,45.20826454,NA,7.853297977,17.32598479,327.876094,6.695607858,"PI 277285"
"74",80273,10.52881021,9.208268163,4.65484241,NA,0,0,19.73707837,4.240117416,"PI 277668"
"75",80275,34.02257791,25.35309828,5.511188984,NA,0,0,59.37567619,10.77365998,"PI 277709"
"76",80276,395.401285,457.9533418,53.42926639,NA,16.23671817,13.48707947,883.0784244,15.97167029,"PI 277710"
"77",80277,76.92833989,196.0015819,28.30134861,NA,0,0,272.9299217,9.643707284,"PI 277711"
"78",80287,290.9811948,469.4557176,89.08335326,13.22941306,NA,12.97793962,NA,8.536240325,"PI 284700"
"79",80288,88.85734942,182.4854454,48.69443927,NA,NA,23.42235066,NA,5.572356903,"PI 284701"
"80",80290,16.96081145,49.78662911,12.05385768,NA,0,0,66.74744056,5.537433936,"PI 284773"
"81",80291,70.8097887,258.4219213,99.69111827,NA,NA,15.86332752,NA,3.302517974,"PI 285612"
"82",80292,16.20046158,53.34840648,4.44178087,NA,0,0,69.54886806,15.65787915,"PI 285613"
"83",80293,66.73375658,220.7427256,34.68278725,NA,0,0,287.4764822,8.288736431,"PI 285614"
"84",80294,305.9462318,466.9042262,91.26004516,NA,18.14769796,19.03229677,810.0304527,8.468661797,"PI 285615"
"85",80295,32.80312552,61.43825393,10.7756665,NA,0,0,94.24137944,8.745758737,"PI 285616"
"86",80302,30.64878741,127.0607045,21.04882374,NA,0,0,157.7094919,7.492556062,"PI 285623"
"87",80348,205.4018739,313.4113714,51.71379525,NA,8.52820522,0,527.3414504,10.03239547,"PI 325991"
"88",80356,85.53351534,243.7331017,170.8768039,NA,0,0,329.266617,1.926924016,"PI 325998"
"89",80357,33.38260612,90.67772837,16.85023853,NA,0,0,124.0603345,7.362526905,"PI 325999"
"90",80359,62.14223127,137.6472284,33.04902672,NA,0,0,199.7894597,6.045244884,"PI 326001"
"91",80360,129.2312782,126.6691499,25.32774069,NA,6.085633955,0,261.986062,10.10356317,"PI 326002"
"92",80366,140.7138639,352.8715775,80.58234144,13.01572295,0,NA,NA,6.12523082,"PI 326009"
"93",80367,424.0172241,699.3706954,105.6856129,18.84590107,16.20370406,0,1139.591624,10.62952553,"PI 326010"
"94",80371,224.9136963,436.1952122,143.1243781,NA,7.638482817,39.16313509,707.9105264,4.619121617,"PI 326014"
"95",80378,207.8431038,494.9021057,96.32310232,12.00518761,0,17.12089073,719.8661001,7.295707805,"PI 341206"
"96",80384,78.88479164,164.4810647,57.29693195,NA,18.02152997,17.31431891,278.7017052,4.247450047,"PI 344360"
"97",80397,25.58360209,45.71122891,14.02851202,NA,0,0,71.294831,5.082137785,"PI 357980"
"98",80401,36.29808476,72.0016091,25.61315282,NA,0,0,108.2996939,4.228284375,"PI 357984"
"99",80403,74.32692266,179.4066336,27.74038095,NA,0,0,253.7335563,9.146722127,"PI 357986"
"100",80414,11.26982944,16.77008897,11.94678445,NA,0,0,28.03991841,2.347068244,"PI 378883"
"101",80419,144.0802895,239.3247168,26.34945903,NA,13.70647919,0,397.1114855,14.55077336,"PI 379420"
"102",80429,23.67236351,45.59466351,4.425600087,NA,0,0,69.26702702,15.65144289,"PI 419184"
"103",80436,180.562861,447.0082164,177.7060446,NA,33.84496107,84.3014239,745.7174624,3.531512272,"PI 430530"
"104",80447,18.51939219,22.60111655,13.10105473,NA,0,0,41.12050873,3.138717422,"PI 432904"
"105",80463,185.6370468,409.3373731,95.73187833,NA,25.96449726,74.22194337,695.1608605,6.215008316,"PI 458858"
"106",80465,16.8657562,22.71312083,9.095745038,NA,0,0,39.57887703,4.351361748,"PI 458860"
"107",80473,413.9977372,685.6058394,89.74559522,31.02027088,12.18163465,49.75264012,1161.537851,12.25245177,"PI 502239"
"108",80480,41.82797865,69.56129755,13.71373241,NA,0,0,111.3892762,8.122462427,"PI 502914"
"109",80483,29.44445815,78.99668896,8.790732719,NA,0,0,108.4411471,12.33584851,"PI 502916"
"110",80484,87.30158917,230.0641153,30.36026963,NA,17.97985566,19.24626541,354.5918255,10.45332299,"PI 502917"
"111",80485,70.13850208,209.8255383,43.73475122,NA,15.8946415,35.73194809,331.5906299,6.401409235,"PI 502918"
"112",80486,13.72629178,38.50299404,5.083918436,NA,0,0,52.22928581,10.27343111,"PI 502919"
"113",80487,36.40941015,64.63067044,15.03091878,NA,0,0,101.0400806,6.722149329,"PI 502920"
"114",80490,12.37280095,46.8334447,10.24095886,NA,0,0,59.20624565,5.781318574,"PI 503344"
"115",80491,188.3250675,438.3668301,82.48662917,14.18714037,21.6215576,33.43264834,681.7461035,7.597496756,"PI 503345"
"116",80492,6.631116122,23.33904057,5.322347275,NA,0,0,29.97015669,5.631003605,"PI 506444"
"117",80493,312.9194325,424.0511294,136.4419891,NA,14.66287206,18.4596592,770.0930931,5.401347246,"PI 506445"
"118",80494,17.99880042,12.78983686,4.078305557,NA,0,0,30.78863728,7.549369916,"PI 508470"
"119",80547,266.9949183,414.0564489,68.65506511,NA,0,0,681.0513672,9.919899807,"PI 632392"
"120",80549,618.0779988,974.2313632,116.9738909,NA,30.25826587,36.45663097,1659.024259,13.61251943,"PI 632394"
"121",80551,364.5817723,589.5905909,61.59308578,27.03904879,12.74271283,0,966.915076,15.49154992,"PI 634649"
"122",80555,234.8783745,734.4983811,163.9418505,NA,16.43256147,35.53992248,1021.349239,5.912930426,"PI 634653"
"123",80556,248.631556,177.3466419,15.87089748,NA,0,0,425.9781979,26.84020853,"PI 634654"
"124",80559,83.2536806,225.2454295,17.87016104,NA,0,0,308.4991101,17.26336485,"PI 634657"
"125",80560,13.28542797,28.06862805,4.633065458,NA,0,0,41.35405602,8.925851878,"PI 634658"
"126",80561,284.0873606,371.3688265,104.3159627,NA,0,0,655.4561871,6.283373801,"PI 642755"
"127",80562,434.2104749,709.393278,60.62719637,NA,42.10666609,32.12854777,1217.838967,18.86288368,"PI 642756"
"128",80563,82.05961883,166.5641629,118.8025329,NA,7.321049144,17.36478249,273.3096133,2.092748156,"PI 642757"
"129",80564,438.1998159,900.1769772,85.70186926,46.7359039,39.98070827,38.8716463,1417.229148,15.61665813,"PI 642758"
"130",80565,272.6090003,448.0963127,95.9694355,NA,21.15102756,NA,NA,7.509737961,"PI 642759"
"131",80569,342.3252512,703.1508256,53.10057594,27.63204587,16.80002789,NA,NA,19.68860146,"PI 643115"
"132",80570,387.1660762,517.1679157,147.6011137,15.68277045,NA,28.96981148,NA,6.126877836,"PI 643116"
"133",80571,228.8570689,441.0135887,99.08545162,NA,11.69082367,0,681.5614812,6.760534938,"PI 643117"
"134",80572,383.7507291,617.1017699,57.79265248,NA,26.62015044,0,1027.472649,17.31798864,"PI 643118"
"135",80574,8.594896057,28.85966366,NA,NA,0,0,37.45455971,NA,"PI 643120"
"136",80581,481.9921769,830.1825167,NA,NA,0,0,1312.174694,NA,"PI 652124"
"137",80582,8.550507192,11.921736,3.847665876,NA,0,0,20.47224319,5.320691518,"PI 652125"
"138",80587,8.099701712,20.92779997,10.13809624,NA,0,0,29.02750168,2.863210311,"PI 652130"
"139",80588,188.3175345,352.218454,22.36040317,NA,0,0,540.5359885,24.17380333,"PI 652131"
"140",80590,120.1373866,187.7803389,27.01935527,NA,0,0,307.9177255,11.39619071,"PI 652133"
"141",80591,91.19366153,188.9956309,62.56821354,NA,13.69230861,0,293.881601,4.478141161,"PI 652134"
"142",80592,361.9811147,490.0497707,36.01328105,13.24707024,41.43219731,0,893.4630827,23.65879644,"PI 652135"
"143",80593,301.7703775,371.920709,27.86430933,10.21012365,0,0,673.6910864,24.17756272,"PI 652136"
"144",80594,630.4506027,820.1827975,NA,NA,18.06274894,0,1468.696149,NA,"PI 652137"
"145",80603,54.31617573,81.98207458,9.01195229,NA,0,0,136.2982503,15.12416466,"PI 652148"
"146",80604,139.5196017,392.4476355,81.2033259,13.66893446,NA,0,NA,6.551052328,"PI 652149"
"147",80606,93.36456017,198.9791883,56.44898307,NA,0,0,292.3437485,5.17890195,"PI 652152"
"148",80607,25.65413297,31.22682434,5.349459011,NA,0,0,56.88095731,10.63302984,"PI 652153"
"149",80608,88.49051371,150.2593247,23.13658659,NA,0,0,238.7498384,10.31914701,"PI 652154"
"150",80611,174.6802987,601.0580567,84.71421807,NA,25.29643652,19.52268014,820.5574721,9.15712112,"PI 652156"
"151",80613,31.58647039,74.73445832,39.97172394,NA,0,0,106.3209287,2.659903508,"PI 652158"
"152",80614,104.7574163,327.302541,41.0019857,9.266326129,0,0,432.0599573,10.53753739,"PI 652159"
"153",80616,442.4068025,597.4971649,76.6838031,19.56876282,0,34.00408864,1073.908056,13.56093367,"PI 652161"
"154",80618,252.4017485,458.2966578,59.78879598,NA,0,22.60390467,733.3023109,11.88681582,"PI 652163"
"155",80620,283.8861036,371.2440363,46.47984873,NA,17.5077066,0,672.6378465,14.0949284,"PI 652165"
"156",80622,163.690456,318.9696755,41.41812775,9.487382848,0,0,482.6601314,11.65335464,"PI 652167"
"157",80623,78.56267497,133.3184892,169.8806927,NA,0,0,211.8811642,1.247235109,"PI 652168"
"158",80625,65.04952918,207.4296618,32.74354469,NA,0,0,272.4791909,8.321615558,"PI 652170"
"159",80626,555.4345021,1065.599333,84.02287809,NA,33.18775766,77.59314351,1731.814736,19.2927673,"PI 652171"
"160",80627,45.33194881,107.7939996,8.871287809,NA,0,0,153.1259484,17.26084777,"PI 652172"
"161",80629,48.9008788,143.4269857,27.80044736,NA,0,0,192.3278645,6.918157181,"PI 652174"
"162",80630,371.6267766,556.5807852,57.34501761,40.57624969,18.97365443,0,947.1812162,16.18636807,"PI 652175"
"163",80631,112.5940811,276.2893506,79.24085191,NA,29.48395703,54.96208691,473.3294756,4.907612959,"PI 652176"
"164",80632,56.5806663,134.2955998,30.92813479,NA,0,0,190.8762661,6.171606125,"PI 652177"
"165",80633,311.7889845,518.5159323,57.31044438,22.0468374,40.47433008,22.97189862,893.7511455,14.48784643,"PI 652178"
"166",80634,89.51704819,189.9751152,100.5048932,NA,34.97948776,48.34610161,362.8177528,2.780881155,"PI 652179"
"167",80635,51.21090705,101.5788526,35.58097941,NA,0,0,152.7897596,4.29414148,"PI 652180"
"168",80636,12.00527582,17.38179891,4.126388092,NA,0,0,29.38707473,7.12174281,"PI 652181"
"169",80637,55.3176732,145.5522507,93.56620168,NA,0,NA,NA,2.146821398,"PI 652182"
