"","Sample Name","Outer Color","Inner Color","Color","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)","Total (ug/g)","AB.Ratio","PI"
"44",90164,"Orange","Orange","Orange",892.0741433,2516.53717,194.0960678,68.68961359,347.2029711,33.93628254,3789.750566,17.56146506,"PI 205999"
"45",90183,"Orange","Yellow","Orange",355.0469681,1202.015736,109.3777765,63.65306935,113.9719358,0,1671.034639,14.23564049,"PI 222250"
"46",90191,"Orange","Orange","Orange",1207.798833,2213.054844,151.0211217,63.76104757,151.8752414,0,3572.728918,22.65149166,"PI 224689"
"47",90192,"Orange","Orange","Orange",614.9395572,2047.680012,102.0932213,80.8159921,176.0480296,0,2838.667598,26.08027776,"PI 225866"
"48",90194,"Orange","Orange","Orange",821.6688981,1689.227842,84.97626684,49.97274347,71.19521931,0,2582.091959,29.54821191,"PI 225867"
"49",90196,"Orange","Orange","Orange",365.8374182,871.3987037,75.27705969,NA,43.41246129,0,1280.648583,16.43576578,"PI 225869"
"50",90197,"Orange","Orange","Orange",366.0660821,1382.093619,79.02899336,29.96020069,176.8089903,0,1924.968691,22.12048549,"PI 225870"
"51",90198,"Orange","Orange","Orange",264.2404335,870.9187171,49.56449062,NA,101.6259848,0,1236.785135,22.90266956,"PI 225871"
"52",90199,"Orange","Orange","Orange",187.3385609,675.138572,77.17058389,NA,100.1594875,0,962.6366204,11.17624216,"PI 225872"
"53",90200,"Orange","Orange","Orange",211.9570633,709.9307772,53.33695305,37.76898996,96.87683759,0,1018.764678,17.28422394,"PI 225937"
"54",90201,"Orange","Yellow","Orange",1258.346544,2179.996975,169.9829914,57.42536283,362.9923117,76.84098192,3878.176812,20.2275739,"PI 226043"
"55",90203,"Orange","Yellow","Orange",215.4519692,1011.956523,103.0777613,16.79404524,393.0452114,51.91235576,1672.366059,11.90759749,"PI 226310"
