Taxa,Q1,Q2
80398,0.9993555,0.0006445
80399,0.864478,0.135522
80401,0.999962,0.000038
80402,0.99999,0.00001
80403,0.999992,0.000008
80404,0.99256,0.00744
80407,0.6672785,0.3327215
80408,0.7667965,0.2332035
80410,0.829751,0.170249
80411,0.697565,0.302435
80413,0.999991,0.000009
80414,0.985039,0.014961
80415,0.924322,0.075678
80419,0.999991,0.000009
80421,0.364597,0.635403
80424,0.000009,0.999991
80426,0.000009,0.999991
80427,0.0000085,0.9999915
80428,0.0000085,0.9999915
80431,0.1682405,0.8317595
80433,0.497274,0.502726
80434,0.00001,0.99999
80435,0.0000095,0.9999905
80436,0.060479,0.939521
80441,0.0000095,0.9999905
80442,0.000009,0.999991
80445,0.000009,0.999991
80446,0.000009,0.999991
80447,0.976255,0.023745
80448,0.000009,0.999991
80451,0.000009,0.999991
80452,0.827231,0.172769
80453,0.7261065,0.2738935
80454,0.8503235,0.1496765
80455,0.728744,0.271256
80456,0.693996,0.306004
80457,0.694622,0.305378
80458,0.7584425,0.2415575
80459,0.7075615,0.2924385
80460,0.7835915,0.2164085
80461,0.726439,0.273561
80462,0.9018405,0.0981595
80463,0.955105,0.044895
80466,0.00001,0.99999
80468,0.587183,0.412817
80470,0.8930005,0.1069995
80472,0.630165,0.369835
80473,0.9263665,0.0736335
80474,0.3777685,0.6222315
80475,0.000009,0.999991
80479,0.9968325,0.0031675
80480,0.98784,0.01216
80482,0.883974,0.116026
80483,0.999991,0.000009
80484,0.999991,0.000009
80485,0.9999785,0.0000215
80486,0.999991,0.000009
80487,0.999989,0.000011
80490,0.999991,0.000009
80491,0.999991,0.000009
80492,0.9912985,0.0087015
80493,0.965188,0.034812
80504,0.895112,0.104888
80509,0.0000085,0.9999915
80532,0.9766655,0.0233345
80533,0.9999895,0.0000105
80535,0.7745875,0.2254125
80547,0.999971,0.000029
80549,0.9896515,0.0103485
80551,0.9989075,0.0010925
80554,0.744692,0.255308
80555,0.962724,0.037276
80556,0.905029,0.094971
80557,0.5506605,0.4493395
80559,0.9999915,0.0000085
80561,0.999988,0.000012
80562,0.9843845,0.0156155
80563,0.993331,0.006669
80564,0.9999915,0.0000085
80565,0.999991,0.000009
80566,0.99999,0.00001
80567,0.9639475,0.0360525
80568,0.7914805,0.2085195
80569,0.9373465,0.0626535
80570,0.9844575,0.0155425
80571,0.9999905,0.0000095
80572,0.7927375,0.2072625
80573,0.8493465,0.1506535
80574,0.999992,0.000008
80575,0.863403,0.136597
80579,0.7021815,0.2978185
80581,0.912577,0.087423
80583,0.664549,0.335451
80587,0.8364195,0.1635805
80588,0.7533875,0.2466125
80589,0.8259805,0.1740195
80590,0.7872445,0.2127555
80591,0.898376,0.101624
80592,0.656578,0.343422
80593,0.664426,0.335574
80594,0.5400425,0.4599575
80601,0.493333,0.506667
80603,0.9944215,0.0055785
80604,0.9318775,0.0681225
80606,0.987565,0.012435
80607,0.953028,0.046972
80608,0.9806655,0.0193345
80610,0.931774,0.068226
80611,0.922241,0.077759
80612,0.9797175,0.0202825
80614,0.935572,0.064428
