Taxa,Q1,Q2
143782,0.9918885,0.0081115
143784,0.993516,0.006484
143786,0.99974,0.00026
143788,0.0000085,0.9999915
143790,0.2727815,0.7272185
143792,0.0000085,0.9999915
143794,0.000009,0.999991
143796,0.0000105,0.9999895
143798,0.00001,0.99999
143800,0.0000095,0.9999905
143802,0.0000095,0.9999905
143804,0.9999915,0.0000085
143806,0.00028,0.99972
143808,0.52767,0.47233
143810,0.03933,0.96067
143812,0.903188,0.096812
143814,0.878023,0.121977
143816,0.9733845,0.0266155
143818,0.9984415,0.0015585
143820,0.8661025,0.1338975
143822,0.5738035,0.4261965
143824,0.476061,0.523939
143826,0.749832,0.250168
143828,0.8909675,0.1090325
143830,0.8416325,0.1583675
143832,0.825242,0.174758
143834,0.4622125,0.5377875
143836,0.970442,0.029558
143838,0.0000095,0.9999905
143840,0.6961225,0.3038775
143842,0.9999905,0.0000095
143844,0.999991,0.000009
143846,0.874745,0.125255
143848,0.7705925,0.2294075
143850,0.768209,0.231791
143852,0.8468665,0.1531335
143854,0.8617795,0.1382205
143856,0.8472375,0.1527625
143858,0.431436,0.568564
143860,0.8582565,0.1417435
143866,0.643332,0.356668
143868,0.783452,0.216548
143870,0.990409,0.009591
143872,0.8358125,0.1641875
143874,0.88716,0.11284
143876,0.8001465,0.1998535
143878,0.383973,0.616027
143880,0.79725,0.20275
143882,0.00001,0.99999
143884,0.9734575,0.0265425
143886,0.137892,0.862108
143888,0.9860825,0.0139175
143890,0.999986,0.000014
143892,0.701045,0.298955
143894,0.7706135,0.2293865
143896,0.6808825,0.3191175
143898,0.098269,0.901731
143900,0.00001,0.99999
143902,0.0676155,0.9323845
143904,0.9999895,0.0000105
143906,0.9999915,0.0000085
143908,0.9999915,0.0000085
143910,0.95965,0.04035
143912,0.999991,0.000009
143914,0.9739745,0.0260255
143916,0.9999885,0.0000115
143918,0.9861095,0.0138905
143920,0.9985125,0.0014875
143922,0.9969845,0.0030155
143924,0.99999,0.00001
143926,0.999989,0.000011
143928,0.984169,0.015831
143930,0.9984975,0.0015025
143932,0.9999865,0.0000135
143934,0.987399,0.012601
143936,0.5940615,0.4059385
