Taxa,Interior,Color,Ratio,Total,Lutein,Alpha,Beta,Lycopene,Phytoene,Zeta
80639,1,1,13.00438703,57.48987395,4.420806133,25.58278021,31.90709374,NA,0,0
80642,2,1,4.085154954,189.6198708,46.41681232,54.01089242,135.6089784,NA,0,0
80646,1,1,6.046399451,318.7830768,52.72279468,126.3067985,192.4762783,NA,0,0
80648,1,1,9.715367158,1808.070237,160.8211361,596.2650206,966.1713633,69.42205659,177.9374749,67.69637812
80649,1,1,14.60119398,262.4665459,17.97569063,92.90509416,169.5614517,0,0,0
80650,2,1,0.120734532,20.64672116,171.0092454,0,20.64672116,0,0,0
80653,1,1,3.605765906,196.628974,47.15475611,99.35394607,70.67506583,0,26.59996205,0
80656,1,1,16.84270816,2140.907317,120.4926292,967.1478078,1062.274381,19.3376291,64.29782759,47.18730078
80657,1,1,5.260826359,69.38519047,13.18902882,25.25850775,44.12668272,0,0,0
80659,1,1,15.57178986,NA,131.8279251,669.752015,1383.044732,74.12027398,NA,69.48860364
80665,1,1,1.708783382,141.0679425,82.55460816,16.42964851,124.638294,NA,0,0
80672,2,1,0.500869739,13.18053973,26.31530455,0,13.18053973,NA,0,0
80675,1,1,22.07386642,NA,203.8185232,1494.063187,3004.999668,181.4782621,NA,35.13424315
80677,1,1,1.869288039,396.9645734,192.6652244,31.01789004,329.1289095,NA,19.31934626,17.49842755
80684,1,1,1.051347098,166.7136686,158.571483,58.34569675,108.3679718,NA,0,0
80685,2,1,2.083061441,28.07864467,13.47950863,0,28.07864467,NA,0,0
80686,1,1,5.935318152,101.7148639,17.13722185,42.87703458,58.83782934,NA,0,0
80692,1,1,10.50612368,NA,35.42224972,122.2671343,249.8834023,NA,NA,0
80693,1,1,3.278370805,613.4139618,171.5532669,195.5910425,366.8241792,NA,21.05256161,29.94617844
80695,1,1,2.822751884,270.0405595,95.66570869,91.39212417,178.6484353,NA,0,0
80696,1,1,5.123554566,1050.566667,177.8652549,299.6581141,611.6442247,15.91133275,27.74056178,111.5237663
80697,2,1,4.660437174,856.9750651,147.2897793,215.6292825,470.8054803,NA,41.04863615,129.4916661
80701,2,1,2.452631089,663.7058683,236.1062967,227.6841787,351.397465,NA,62.35064734,22.27357727
80711,2,1,4.225423419,120.4224883,28.49950793,62.06207722,58.36041103,NA,0,0
80714,2,1,6.019171339,237.4497273,39.44890649,107.5110818,129.9386455,NA,0,0
80719,1,1,17.51945778,959.4401726,54.00665116,331.7499887,614.417256,NA,13.27292792,0
80771,1,1,16.50484919,105.6756677,6.402704228,34.12921809,71.54644963,NA,0,0
80783,1,1,14.09943957,1226.601294,86.11518,478.2809524,735.8948238,50.05522048,12.42551734,0
80784,1,1,11.29516472,133.5230387,11.82125644,52.3480382,81.17500045,NA,0,0
80786,1,1,17.96247975,1340.582536,73.81690695,395.6803148,930.2543815,NA,14.64783983,0
80788,1,1,10.81075011,1737.071518,152.0194604,699.3168034,944.1275954,56.45702862,30.48041308,63.14670615
